Stock,Direction,Score,TrendQuality,Smoothness,EMADiscipline,MaxDrawdown,CrossCount,EMA_Slope%,Trend%,BarsAboveEMA,VolRatio,EMA_Efficiency
BLUESTARCO.NS,SIDEWAYS,-85.03,-32.0,38.0,35.0,99.38,3.68,21,-0.07,-0.08,19,3.81
BOSCHLTD.NS,SIDEWAYS,-41.18,7.0,62.0,45.0,99.58,1.12,20,0.15,0.11,31,1.85
BPCL.NS,SIDEWAYS,1.5,51.0,66.0,50.0,97.86,3.34,13,0.98,0.73,33,1.7
BRITANNIA.NS,SIDEWAYS,2.4,39.0,44.0,40.0,99.5,0.59,9,-0.04,0.02,22,1.59
BSE.NS,SIDEWAYS,-71.06,8.0,28.0,30.0,98.81,7.85,10,-0.58,-0.71,14,1.78
CAMS.NS,SIDEWAYS,-47.13,12.0,32.0,35.0,98.06,4.75,11,-0.6,-0.67,16,1.91
CANBK.NS,SIDEWAYS,-37.59,34.0,54.0,35.0,99.21,4.65,11,-0.26,-0.39,27,1.44
CDSL.NS,SIDEWAYS,-23.42,45.0,40.0,45.0,99.3,4.61,8,-0.2,-0.3,20,2.2
CGPOWER.NS,SIDEWAYS,-46.09,17.0,32.0,35.0,98.73,5.04,10,-0.44,-0.7,16,1.57
CHOLAFIN.NS,SIDEWAYS,26.56,82.0,82.0,35.0,98.67,0.65,7,0.0,-0.4,41,1.08
CIPLA.NS,SIDEWAYS,19.2,64.0,54.0,30.0,98.8,1.94,4,-0.55,-0.45,27,1.76
COALINDIA.NS,SIDEWAYS,-55.5,-11.0,24.0,25.0,99.31,4.37,12,-0.27,-0.37,12,2.79
